rk,team,conf,str,ofs,dfs,sos
1,South Carolina,sec,2.085,1.528,0.733,1.153
2,Connecticut,big_east,1.926,1.471,0.763,1.158
3,Texas,big_twelve,1.857,1.436,0.774,1.142
4,Stanford,pac_twelve,1.828,1.419,0.776,1.162
5,UCLA,pac_twelve,1.819,1.410,0.775,1.173
6,Iowa,big_ten,1.793,1.626,0.907,1.158
7,Notre Dame,acc,1.770,1.388,0.784,1.148
8,LSU,sec,1.758,1.490,0.847,1.117
9,Ohio St,big_ten,1.734,1.380,0.796,1.162
10,USC,pac_twelve,1.711,1.360,0.795,1.171
11,NC State,acc,1.705,1.328,0.779,1.160
12,Utah,pac_twelve,1.694,1.372,0.810,1.154
13,Kansas St,big_twelve,1.686,1.261,0.748,1.144
14,Colorado,pac_twelve,1.677,1.381,0.824,1.167
15,West Virginia,big_twelve,1.660,1.309,0.788,1.122
16,Baylor,big_twelve,1.659,1.329,0.801,1.136
17,Indiana,big_ten,1.659,1.361,0.820,1.139
18,Duke,acc,1.648,1.230,0.746,1.161
19,Oregon St,pac_twelve,1.644,1.288,0.784,1.156
20,Gonzaga,wcc,1.621,1.369,0.844,1.087
21,Virginia Tech,acc,1.615,1.314,0.814,1.137
22,Michigan St,big_ten,1.604,1.417,0.884,1.121
23,Louisville,acc,1.594,1.312,0.824,1.149
24,Washington St,pac_twelve,1.557,1.253,0.805,1.155
25,Penn St,big_ten,1.546,1.436,0.929,1.130
26,Oklahoma,big_twelve,1.546,1.380,0.893,1.155
27,Tennessee,sec,1.546,1.350,0.873,1.170
28,Creighton,big_east,1.543,1.312,0.850,1.130
29,Nebraska,big_ten,1.542,1.278,0.829,1.140
30,Iowa St,big_twelve,1.529,1.317,0.861,1.158
31,Maryland,big_ten,1.527,1.370,0.897,1.170
32,Mississippi,sec,1.525,1.196,0.784,1.125
33,Texas A&M,sec,1.523,1.199,0.787,1.122
34,Arizona,pac_twelve,1.522,1.254,0.824,1.169
35,Alabama,sec,1.518,1.265,0.834,1.114
36,North Carolina,acc,1.514,1.231,0.813,1.147
37,Auburn,sec,1.503,1.178,0.784,1.130
38,Kansas,big_twelve,1.499,1.243,0.829,1.157
39,Washington,pac_twelve,1.489,1.139,0.765,1.145
40,UNLV,mwc,1.482,1.282,0.865,1.045
41,Florida St,acc,1.480,1.361,0.919,1.135
42,Marquette,big_east,1.478,1.221,0.826,1.108
43,Michigan,big_ten,1.474,1.211,0.822,1.138
44,Syracuse,acc,1.471,1.280,0.870,1.118
45,Mississippi St,sec,1.467,1.299,0.885,1.112
46,Princeton,ivy,1.458,1.177,0.807,1.075
47,Illinois,big_ten,1.447,1.275,0.882,1.133
48,TCU,big_twelve,1.446,1.198,0.829,1.118
49,MTSU,cusa,1.441,1.161,0.805,1.047
50,Miami FL,acc,1.436,1.163,0.810,1.124
51,Villanova,big_east,1.427,1.163,0.815,1.130
52,Vanderbilt,sec,1.424,1.191,0.836,1.114
53,Oklahoma St,big_twelve,1.422,1.230,0.865,1.148
54,California,pac_twelve,1.414,1.209,0.855,1.158
55,Florida,sec,1.412,1.305,0.924,1.131
56,Virginia,acc,1.407,1.283,0.912,1.136
57,WI Green Bay,horizon,1.399,1.178,0.842,1.045
58,Columbia,ivy,1.375,1.273,0.926,1.066
59,FL Gulf Coast,a_sun,1.373,1.166,0.849,1.032
