BEGIN
CREATE TABLE
INSERT 0 363
 rk  |       team       |    conf    |  str  |  ofs  |  dfs  |  sos  
-----+------------------+------------+-------+-------+-------+-------
   1 | Houston          | aac        | 1.453 | 1.111 | 0.765 | 1.058
   2 | Alabama          | sec        | 1.439 | 1.249 | 0.868 | 1.091
   3 | Tennessee        | sec        | 1.433 | 1.107 | 0.773 | 1.078
   4 | UCLA             | pac_twelve | 1.420 | 1.134 | 0.798 | 1.079
   5 | Connecticut      | big_east   | 1.398 | 1.183 | 0.846 | 1.076
   6 | Texas            | big_twelve | 1.398 | 1.185 | 0.847 | 1.095
   7 | Purdue           | big_ten    | 1.387 | 1.135 | 0.819 | 1.086
   8 | Kansas           | big_twelve | 1.378 | 1.177 | 0.854 | 1.107
   9 | Arizona          | pac_twelve | 1.349 | 1.264 | 0.937 | 1.078
  10 | Baylor           | big_twelve | 1.343 | 1.195 | 0.890 | 1.097
  11 | Creighton        | big_east   | 1.340 | 1.160 | 0.866 | 1.087
  12 | Gonzaga          | wcc        | 1.338 | 1.259 | 0.941 | 1.071
  13 | Iowa St          | big_twelve | 1.334 | 1.059 | 0.793 | 1.096
  14 | Marquette        | big_east   | 1.334 | 1.196 | 0.897 | 1.079
  15 | St Mary's CA     | wcc        | 1.326 | 1.046 | 0.789 | 1.067
  16 | Kansas St        | big_twelve | 1.326 | 1.161 | 0.875 | 1.088
  17 | West Virginia    | big_twelve | 1.324 | 1.183 | 0.894 | 1.099
  18 | Duke             | acc        | 1.323 | 1.103 | 0.834 | 1.075
  19 | TCU              | big_twelve | 1.323 | 1.155 | 0.873 | 1.084
  20 | Arkansas         | sec        | 1.322 | 1.151 | 0.870 | 1.087
  21 | Rutgers          | big_ten    | 1.318 | 1.050 | 0.797 | 1.079
  22 | Indiana          | big_ten    | 1.315 | 1.154 | 0.878 | 1.087
  23 | Maryland         | big_ten    | 1.313 | 1.094 | 0.833 | 1.080
  24 | Illinois         | big_ten    | 1.313 | 1.146 | 0.873 | 1.079
  25 | Xavier           | big_east   | 1.311 | 1.224 | 0.934 | 1.085
  26 | Virginia         | acc        | 1.300 | 1.037 | 0.798 | 1.070
  27 | Auburn           | sec        | 1.297 | 1.122 | 0.865 | 1.085
  28 | Texas A&M        | sec        | 1.296 | 1.121 | 0.865 | 1.076
  29 | Kentucky         | sec        | 1.294 | 1.138 | 0.880 | 1.079
  30 | Iowa             | big_ten    | 1.292 | 1.227 | 0.950 | 1.087
  31 | Northwestern     | big_ten    | 1.289 | 1.053 | 0.817 | 1.084
  32 | Memphis          | aac        | 1.289 | 1.188 | 0.922 | 1.073
  33 | Michigan St      | big_ten    | 1.288 | 1.090 | 0.846 | 1.099
  34 | San Diego St     | mwc        | 1.288 | 1.084 | 0.841 | 1.073
  35 | Ohio St          | big_ten    | 1.278 | 1.134 | 0.887 | 1.091
  36 | Oklahoma St      | big_twelve | 1.278 | 1.081 | 0.846 | 1.097
  37 | North Carolina   | acc        | 1.277 | 1.147 | 0.898 | 1.080
  38 | Penn St          | big_ten    | 1.273 | 1.119 | 0.879 | 1.086
  39 | Providence       | big_east   | 1.270 | 1.152 | 0.907 | 1.069
